id,name,num_supported_bills,num_opposed_bills
904789,Rep. Don Bacon (R-NE-2),2,2
1603850,Rep. Jamaal Bowman (D-NY-16),2,2
1852382,Rep. Cori Bush (D-MO-1),2,2
904796,Rep. Brian Fitzpatrick (R-PA-1),2,2
15318,Rep. Andrew Garbarino (R-NY-2),2,2
1269775,Rep. Anthony Gonzalez (R-OH-16),2,2
412649,Rep. John Katko (R-NY-24),2,2
412421,Rep. Adam Kinzinger (R-IL-16),2,2
15367,Rep. Nicole Malliotakis (R-NY-11),2,2
412487,Rep. David McKinley (R-WV-1),2,2
1269767,Rep. Alexandria Ocasio-Cortez (D-NY-14),2,2
905216,Rep. Ilhan Omar (D-MN-5),2,2
1269778,Rep. Ayanna Pressley (D-MA-7),2,2
412393,Rep. Tom Reed (R-NY-23),2,2
400380,Rep. Chris Smith (R-NJ-4),2,2
1269790,Rep. Rashida Tlaib (D-MI-13),2,2
400414,Rep. Fred Upton (R-MI-6),2,2
17941,Rep. Jeff Van Drew (R-NJ-2),2,2
400440,Rep. Don Young (R-AK-1),2,2
412211,Rep. John Yarmuth (D-KY-3),0,0
